repository,language,size_category,provider,model,weighted_score,quality_score,response_time_ms,cost_estimate,quality_component_raw,cost_component_raw,speed_component_raw,timestamp
nodejs/node,javascript,large,openai,gpt-4o,0.6125,0.89,3254,0.00080,0.89,0.00080,3254,2025-05-14T19:24:10.940Z
nodejs/node,javascript,large,anthropic,claude-3-7-sonnet,0.5986,0.87,3519,0.00074,0.87,0.00074,3519,2025-05-14T19:24:10.940Z
nodejs/node,javascript,large,google,gemini-2.5-pro-preview-05-06,0.5781,0.82,2870,0.00056,0.82,0.00056,2870,2025-05-14T19:24:10.940Z
nodejs/node,javascript,large,deepseek,deepseek-coder,0.5345,0.77,3105,0.00035,0.77,0.00035,3105,2025-05-14T19:24:10.940Z
microsoft/TypeScript,typescript,medium,openai,gpt-4o,0.6198,0.91,3021,0.00080,0.91,0.00080,3021,2025-05-14T19:24:10.940Z
microsoft/TypeScript,typescript,medium,anthropic,claude-3-7-sonnet,0.6124,0.89,2987,0.00074,0.89,0.00074,2987,2025-05-14T19:24:10.940Z
microsoft/TypeScript,typescript,medium,google,gemini-2.5-pro-preview-05-06,0.5521,0.79,2644,0.00056,0.79,0.00056,2644,2025-05-14T19:24:10.940Z
microsoft/TypeScript,typescript,medium,deepseek,deepseek-coder,0.5102,0.73,2890,0.00035,0.73,0.00035,2890,2025-05-14T19:24:10.940Z
rust-lang/rust,rust,large,openai,gpt-4o,0.6023,0.88,3487,0.00080,0.88,0.00080,3487,2025-05-14T19:24:10.940Z
rust-lang/rust,rust,large,anthropic,claude-3-7-sonnet,0.6089,0.88,3105,0.00074,0.88,0.00074,3105,2025-05-14T19:24:10.940Z
rust-lang/rust,rust,large,google,gemini-2.5-pro-preview-05-06,0.5611,0.81,3250,0.00056,0.81,0.00056,3250,2025-05-14T19:24:10.940Z
rust-lang/rust,rust,large,deepseek,deepseek-coder,0.5246,0.76,3389,0.00035,0.76,0.00035,3389,2025-05-14T19:24:10.940Z
python/cpython,python,large,openai,gpt-4o,0.6156,0.90,3156,0.00080,0.90,0.00080,3156,2025-05-14T19:24:10.940Z
python/cpython,python,large,anthropic,claude-3-7-sonnet,0.6037,0.87,3024,0.00074,0.87,0.00074,3024,2025-05-14T19:24:10.940Z
python/cpython,python,large,google,gemini-2.5-pro-preview-05-06,0.5689,0.82,2978,0.00056,0.82,0.00056,2978,2025-05-14T19:24:10.940Z
python/cpython,python,large,deepseek,deepseek-coder,0.5198,0.75,3215,0.00035,0.75,0.00035,3215,2025-05-14T19:24:10.940Zmicrosoft/fluentui-emoji,javascript,small,openai,gpt-4o,0.0000,0.8075,12074,0.773000,0.8075,0.773000,12074,2025-05-14T20:58:33.308Z
microsoft/fluentui-emoji,javascript,small,deepseek,deepseek-coder,0.0000,0.8075,15537,0.216750,0.8075,0.216750,15537,2025-05-14T20:58:38.282Z
microsoft/fluentui-emoji,javascript,small,openai,gpt-4o,0.0000,0.8075,19934,0.848000,0.8075,0.848000,19934,2025-05-14T20:58:40.640Z
microsoft/fluentui-emoji,javascript,small,deepseek,deepseek-coder,0.0000,0.8075,20565,0.306000,0.8075,0.306000,20565,2025-05-14T20:58:43.812Z
